ISO,GDP_pc
AGO,1449.9
ALB,5370.8
ARG,8535.6
ARM,4268.7
AZE,4229.9
BDI,210
BEN,1200.2
BFA,825.2
BGD,2248.9
BGR,10769.9
BIH,6130.3
BLZ,5227.2
BOL,3099.9
BRA,7074.2
BTN,3191.7
BWA,6323.3
CAF,462.9
CIV,2179.7
CMR,1555.6
COD,507.5
COG,1993.6
COL,5339.7
COM,1527.2
CPV,3539.2
CRI,12394
DJI,2844.9
DMA,7827.7
DOM,7135.2
DZA,3743.5
ECU,5463.6
EGY,3511.1
ERI,688.7
ETH,905.3
GAB,6605.8
GEO,4300.9
GHA,2195.5
GIN,1053.7
GMB,720.3
GNB,863.3
GNQ,5764.1
GRD,8968.6
GTM,4477.6
GUY,6775.7
HND,2307.6
HTI,1290.3
IDN,3853.7
IND,1907
JAM,4879.4
JOR,4022
KAZ,8781.5
KEN,1927.7
KGZ,1229.5
KHM,2081.7
LAO,2583.8
LBR,616.8
LBY,6650.3
LCA,8411.1
LKA,3847.6
LSO,918.6
MAR,3268
MDA,4375.8
MDG,450.8
MDV,4375.8
MEX,8841.3
MKD,6659.6
MLI,953.2
MNE,7612.6
MNG,4001.3
MOZ,462.4
MRT,1795.8
MUS,9011
MWI,602.5
MYS,9957.5
NAM,3878.6
NER,579.5
NGA,2019.7
NIC,1938.4
NPL,1154.2
PAK,1278.4
PER,6133.3
PHL,3227.6
PRY,5365.5
ROU,13082.3
RWA,778.7
SEN,1461.1
SLE,846
SLV,3997.2
SRB,8098.7
STP,2167.2
SUR,4755.4
SWZ,3454.8
TCD,866.9
TGO,853.6
THA,6985.6
TJK,834.3
TKM,6592.6
TLS,1630.9
TUN,3548.7
TUR,8638.7
TZA,1117.4
UGA,845.8
UKR,3709.8
UZB,1978.3
VCT,8351.2
VNM,3534
ZAF,5580.6
ZMB,951.6
ZWE,1730.5
WORLD,10963.2
